Wavelength (nm),Intensity
389.90032958984375,163.75
390.495361328125,166.75
391.09039306640625,169.5
391.6854553222656,162.75
392.2804260253906,171.25
392.8753967285156,174.25
393.4703063964844,163.75
394.0652160644531,163.25
394.66009521484375,170.75
395.25494384765625,167.5
395.8497314453125,160.5
396.44451904296875,160.75
397.0392761230469,166.5
397.63397216796875,175.75
398.2287292480469,170.75
398.8233642578125,158.25
399.41802978515625,175.75
400.0126037597656,160.75
400.6072082519531,161.75
401.2017822265625,163.75
401.7962951660156,162.5
402.39080810546875,159.75
402.9852600097656,172.25
403.5796813964844,156.75
404.174072265625,169.75
404.76849365234375,172.75
405.36285400390625,164.25
405.9571533203125,165.0
406.55145263671875,166.75
407.1457214355469,173.75
407.7399597167969,161.25
408.33416748046875,163.5
408.9283142089844,168.0
409.5224609375,158.75
410.1165771484375,172.75
410.7106628417969,171.5
411.30474853515625,173.75
411.8987731933594,165.0
412.4927673339844,161.75
413.0867614746094,171.75
413.6806945800781,165.25
414.27459716796875,163.75
414.8684997558594,166.5
415.46234130859375,155.75
416.05615234375,167.25
416.64996337890625,155.5
417.2437438964844,165.75
417.8374938964844,160.25
418.4311828613281,166.25
419.02484130859375,164.0
419.6185302734375,165.75
420.212158203125,161.25
420.80572509765625,163.5
421.3992919921875,173.5
421.9927978515625,167.0
422.5863037109375,172.25
423.17974853515625,165.5
423.7732238769531,160.25
424.36663818359375,167.75
424.96002197265625,159.0
425.5533752441406,155.5
426.146728515625,163.75
426.739990234375,160.5
427.3332824707031,162.75
427.9264831542969,164.5
428.5196838378906,165.25
429.1128845214844,170.25
429.7060241699219,167.75
430.2991638183594,171.75
430.8922424316406,159.75
431.4852600097656,172.0
432.07830810546875,161.0
432.67132568359375,165.25
433.2642822265625,168.75
433.857177734375,168.25
434.4501037597656,164.5
435.04296875,161.5
435.63580322265625,162.0
436.2286682128906,158.75
436.8214416503906,167.5
437.4141540527344,165.25
438.00689697265625,163.25
438.5996398925781,164.0
439.1922912597656,157.75
439.784912109375,169.25
440.37750244140625,173.5
440.9700927734375,170.5
441.5625915527344,162.0
442.1551208496094,167.25
442.7476501464844,164.5
443.340087890625,170.25
443.9324951171875,167.25
444.52490234375,167.0
445.1172790527344,167.0
445.7095947265625,170.25
446.3019104003906,164.0
446.8941650390625,182.5
447.4864196777344,160.0
448.07861328125,162.5
448.6707763671875,167.5
449.262939453125,166.5
449.8550720214844,156.75
450.4471740722656,165.5
451.03924560546875,157.25
451.6312561035156,162.25
452.2232666015625,161.25
452.8152160644531,159.75
453.40716552734375,166.25
453.9990539550781,164.5
454.5909423828125,157.5
455.18280029296875,165.0
455.77459716796875,160.75
456.36639404296875,166.5
456.9580993652344,154.75
457.54986572265625,152.25
458.1415710449219,160.5
458.73321533203125,169.75
459.3248291015625,160.75
459.9164123535156,174.25
460.5079650878906,160.5
461.0995178222656,160.25
461.6910400390625,161.75
462.28253173828125,166.25
462.87396240234375,155.5
463.4653625488281,165.75
464.0567932128906,161.0
464.64813232421875,159.25
465.23944091796875,167.0
465.8306884765625,155.25
466.4219665527344,164.75
467.0132141113281,155.0
467.6043701171875,163.5
468.195556640625,160.5
468.78668212890625,161.5
469.3777770996094,169.75
469.9689025878906,167.0
470.5599365234375,153.25
471.15093994140625,168.75
471.74188232421875,164.75
472.3328552246094,159.25
472.92376708984375,166.0
473.5146484375,152.5
474.10546875,161.25
474.6963195800781,163.25
475.287109375,158.0
475.87786865234375,160.0
476.4686279296875,169.75
477.059326171875,168.5
477.6499938964844,164.0
478.2406005859375,170.0
478.8312072753906,173.5
479.4217529296875,154.25
480.0122985839844,167.75
480.60284423828125,168.0
481.19329833984375,158.5
481.7837219238281,160.25
482.3741760253906,159.5
482.9645690917969,162.25
483.5549011230469,171.0
484.14520263671875,161.75
484.7355041503906,164.0
485.32574462890625,158.75
485.91595458984375,165.0
486.50616455078125,164.5
487.0963134765625,169.75
487.6864318847656,167.5
488.2765197753906,173.25
488.86663818359375,166.5
489.4566650390625,164.25
490.0466613769531,158.25
490.6366271972656,168.75
491.2265625,170.0
491.81646728515625,169.75
492.4063415527344,161.5
492.9961853027344,161.0
493.58599853515625,170.25
494.17578125,165.0
494.7655334472656,160.25
495.3552551269531,170.25
495.9449462890625,165.0
496.5345764160156,168.5
497.12420654296875,172.5
497.7137756347656,163.5
